Year,Disaster Type,Country,Location,Total Deaths,ISO
2010,Earthquake,China,Guizhou Sheng province,8,CHN
2010,Flood,China,"Ankang, Hanzhong, Shangluo districts (Shaanxi Sheng province), Fujian Sheng, Sichuan Sheng, Guangxi Zhuangzu Zizhiqu, Zhejiang Sheng, Hunan Sheng, Guangdong Sheng, Guizhou Sheng, Hubei Sheng, Yunnan Sheng, Henan Sheng, Jilin Sheng, Anhui Sheng, Jiangsu Sheng, Chongqing Shi, Shangai Shi, Gansu Sheng provinces",1691,CHN
2010,Earthquake,Indonesia,Yapen district (Papua province),17,IDN
2010,Flood,Indonesia,"Wasior I, Wasior II, Rado, Moru, Maniwak, Mangurrai, Wondamawi, Wondiboy villages (Telukwondama district, Papua Barat province)",291,IDN
2010,Flood,Indonesia,"Ciwidey village (Bandung district, Jawa Barat province)",44,IDN
2010,Flood,Indonesia,"Buru district (Maluku Utara province), Tanahlaut, Tanahbumbu districts (Kalimantan Selatan province)",21,IDN
2010,Flood,India,"Leh, Cholglamsar villages (72785 district, Jammu and Kashmir province)",196,IND
2010,Flood,India,"Almora, Naini Tal districts (Uttarakhand province), Bihar, Uttar Pradesh provinces",200,IND
2010,Earthquake,Indonesia,Kepulauan Mentawai district (Sumatera Barat province),530,IDN
2010,Storm,Bangladesh,Mymensingh district (Dhaka province),15,BGD
2010,Storm,India,"Nawabganj town (Gonda district, Uttar Pradesh province), Allahabad, Unnao districts (Uttar Pradesh province)",12,IND
2010,Storm,India,"Krishna, Prakasam, Nellore, Guntur districts (Andhra Pradesh province), Tamil Nadu province",32,IND
2010,Storm,India,"Uttar Pradesh, Bihar provinces",54,IND
2010,Storm,India,Andhra Pradesh province,22,IND
2010,Drought,China,"Anhui Sheng, Gansu Sheng, Henan Sheng, Hebei Sheng, Jiangsu Sheng, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng provinces",,CHN
2010,Flood,Afghanistan,"Hirat, Ghor, Badghis provinces",70,AFG
2010,Landslide,Afghanistan,"Salang mountain pass (Hindu Kush mountains, Salang district, Parwan province)",169,AFG
2010,Landslide,Afghanistan,Arghanjkhwa district (Badakhshan province),35,AFG
2010,Transport accident,Afghanistan,Salang mountains (Parwan province),44,AFG
2010,Transport accident,Afghanistan,Col de Salang,35,AFG
2010,Transport accident,Afghanistan,Daman district,26,AFG
2010,Miscellaneous accident,Afghanistan,Jalga district (Baghlan province),65,AFG
2010,Industrial accident,United Arab Emirates (the),Dubai,11,ARE
2010,Flood,Bangladesh,"Netrakona district (Dhaka province), Kurigram, Gaibandha, Lalmonirhat districts (Rangpur province), Sylhet province",,BGD
2010,Flood,Bangladesh,"Chittagong, Cox's Bazar, Feni, Lakshmipur, Noakhali districts (Chittagong province), Bagerhat, Khulna, Satkhira districts (Khulna province), Barisal province",15,BGD
2010,Landslide,Bangladesh,"Cox's Bazar, Bandarban districts (Chittagong province)",66,BGD
2010,Storm,Bangladesh,"Rangpur, Dinajpur, Nilphamari, Lalmonirhat, Kurigram, Gaibandha districts (Rangpur province), Sirajganj, Bogra districts (Rajshahi province)",8,BGD
2010,Storm,Bangladesh,Lalmonirhat district (Rangpur province),3,BGD
2010,Transport accident,Bangladesh,Kanaipur road,17,BGD
2010,Transport accident,Bangladesh,Sunamganj district,22,BGD
2010,Transport accident,Bangladesh,Alipur,37,BGD
2010,Industrial accident,Bangladesh,Dacca,25,BGD
2010,Miscellaneous accident,Bangladesh,Dacca,25,BGD
2010,Miscellaneous accident,Bangladesh,Gazipur,21,BGD
2010,Miscellaneous accident,Bangladesh,Kayettuli (Dacca),116,BGD
2010,Earthquake,China,"Moxizhen village (Suining district, Sichuan Sheng province)",1,CHN
2010,Earthquake,China,Kunming district (Yunnan Sheng province),,CHN
2010,Earthquake,China,"Yushu Xian area (Name Unknown district, Qinghai Sheng province)",2968,CHN
2010,Earthquake,China,"Ningnan area (Liangshan Yi district, Sichuan Sheng province), Qiaojia area (Zhaotong district, Yunnan Sheng province)",,CHN
2010,Flood,China,Jilin Sheng province,152,CHN
2010,Flood,China,"Mianzhu Shi area (Deyang district, Sichuan Sheng province), Longnan, Tianshui districts (Gansu Sheng province)",59,CHN
2010,Flood,China,"Dandong city (Dandong district, Liaoning Sheng province)",5,CHN
2010,Flood,China,"Qionghai Shi, Wanning Shi, Ding'an Xian areas (Hainan district, Hainan Sheng province), Haikou, Sanya districts (Hainan Sheng province) ",4,CHN
2010,Landslide,China,Guangxi Zhuangzu Zizhiqu province,52,CHN
2010,Landslide,China,"Dazhai village (Guanling Bouyi-Miao Zizhixi area, Anshun district, Guizhou Sheng province)",99,CHN
2010,Landslide,China,"Hanyuan Xian area (Ya'an district, Sichuan Sheng province)",21,CHN
2010,Landslide,China,"Zhouqu Xian area (Gannan Tibetan district, Gansu Sheng province)",1765,CHN
2010,Landslide,China,"Wenchuan area (Ngawa Tibetan and Qiang district, Sichuan Sheng province)",32,CHN
2010,Landslide,China,"Puladixiang village (Gongshan Dulong-Nu Zizhixia area, Nujiang Lisu district, Yunnan Sheng province)",92,CHN
2010,Landslide,China,"Baoshan city (Baoshan district, Yunnan Sheng province)",48,CHN
2010,Landslide,China,"Shuanghuyu village (Zizhou area, Yulin district, Shaanxi Sheng province)",28,CHN
2010,Storm,China,Hainan Sheng province,2,CHN
2010,Storm,China,Fujian Sheng province,,CHN
2010,Storm,China,"Fujian Sheng, Zhejiang Sheng provinces",3,CHN
2010,Wildfire,China,"Daofu county (Garzê Tibetan district, Sichuan Sheng province)",22,CHN
2010,Transport accident,China,Yichun,44,CHN
2010,Transport accident,China,Fuxin,32,CHN
2010,Transport accident,China,Ningxia region,11,CHN
2010,Transport accident,China,Aba prefecture (Sichuan province),23,CHN
2010,Transport accident,China,Wuxi (Jiangsu province),24,CHN
2010,Transport accident,China,Shenxian district (Shandong province),16,CHN
2010,Transport accident,China,Jiangxi province,19,CHN
2010,Miscellaneous accident,China,Guangdong province,19,CHN
2010,Industrial accident,China,Henan province,43,CHN
2010,Industrial accident,China,"Yuanyang (Anshun, Guizhou province)",21,CHN
2010,Industrial accident,China,Shanxi province,11,CHN
2010,Industrial accident,China,Hunan province,17,CHN
