Year,Disaster Type,Country,Location,Total Deaths,ISO
1900,Drought,India,Bengal,1250000,IND
1904,Storm,Bangladesh,Chittagong,,BGD
1905,Earthquake,India,Kangra,20000,IND
1906,Storm,Hong Kong,,10000,HKG
1907,Earthquake,China,Tien Shan,12000,CHN
1907,Epidemic,India,,1300000,IND
1908,Industrial accident,India,Nadu Khas,20,IND
1909,Storm,Bangladesh,Bakerganj,172,BGD
1909,Storm,Bangladesh,West Sundarbans,,BGD
1909,Epidemic,China,,1500000,CHN
1909,Epidemic,Indonesia,,40,IDN
1910,Epidemic,China,Manchuria,60000,CHN
1910,Industrial accident,India,Dishergarh,11,IND
1910,Industrial accident,India,Sitalpur,14,IND
1910,Industrial accident,India,Nambarg,14,IND
1911,Storm,Bangladesh,Teknaf,,BGD
1911,Flood,China,,100000,CHN
1912,Storm,China,Wenchou,50000,CHN
1914,Earthquake,Indonesia,"Kepahyang, Bengkulu (Sumatera)",20,IDN
1915,Flood,China,Guangzhou,,CHN
1916,Transport accident,China,,1000,CHN
1916,Storm,India,"Cuddalore, Pondicherry",300,IND
1917,Earthquake,China,Yunnan province,1800,CHN
1917,Flood,China,Tianjin,,CHN
1917,Earthquake,Indonesia,Bali,15000,IDN
1918,Earthquake,China,Kwangtung (Guangdong),10000,CHN
1918,Epidemic,Bangladesh,,393000,BGD
1919,Storm,Bangladesh,Bakerganj,,BGD
1919,Volcanic activity,Indonesia,Small Island between Java and Sumatra,5000,IDN
1920,Earthquake,China,"Gansu, Shanxi provinces",180000,CHN
1920,Drought,China,North,500000,CHN
1920,Epidemic,India,,2000000,IND
1920,Epidemic,India,,500000,IND
1921,Transport accident,China,South China Sea,1000,CHN
1922,Storm,Bangladesh,Teknaf,,BGD
1922,Storm,China,Swatow,100000,CHN
1922,Transport accident,China,Pao Ting Fou,17,CHN
1923,Storm,Bangladesh,"Cox's Bazar, Chittagong",6,BGD
1923,Earthquake,China,Sichuan,5000,CHN
1923,Storm,Hong Kong,,100,HKG
1924,Earthquake,Indonesia,Wonosobo (Central Java),727,IDN
1924,Storm,India,Punjab province,1242,IND
1924,Epidemic,India,,300000,IND
1925,Earthquake,China,Talifu (Yunnan province),5000,CHN
1925,Storm,India,"Bezwada, Masulipatam",80,IND
1926,Storm,Bangladesh,Cox's Bazar,,BGD
1926,Flood,India,Bengal,,IND
1926,Epidemic,India,,423000,IND
1927,Earthquake,Indonesia,"Sulawesi, Donggala",50,IDN
1927,Earthquake,China,Gansu province,40912,CHN
1927,Storm,China,Yeng-Kong,5000,CHN
1927,Storm,India,"Gujarat, Ahmedabad, Baroda",56,IND
1927,Storm,India,Nellore,629,IND
1928,Drought,China,"Shensi, Honan, Kansu",3000000,CHN
1928,Earthquake,Indonesia,Flores sea,128,IDN
1930,Volcanic activity,Indonesia,Java Island,1369,IDN
1931,Flood,China,,3700000,CHN
1931,Volcanic activity,Indonesia,,1300,IDN
1932,Earthquake,Indonesia,"Kakas, Langowan, Poso, Tondano (North Sulawesi)",6,IDN
1933,Earthquake,China,Sichuan prpvince,10000,CHN
1933,Flood,China,"Henan, Hebei, Shandong, Jiangsy",18000,CHN
1934,Landslide,China,Canton,500,CHN
1935,Flood,China,,142000,CHN
1935,Storm,India,,60000,IND
1936,Earthquake,Indonesia,"Banda Aceh, Lhok Sukon, Lhoksemawe",9,IDN
1936,Earthquake,Indonesia,"Tapanuli, Karo (North Sumatera)",17,IDN
1936,Storm,India,Guntur (Madras),233,IND
1936,Industrial accident,India,Poldih,205,IND
1937,Storm,Bangladesh,Noakhali,,BGD
1937,Miscellaneous accident,China,"Antong, Manchuria",658,CHN
1937,Storm,Hong Kong,,11000,HKG
1937,Transport accident,India,Near Patna,107,IND
1938,Earthquake,Indonesia,Tomini Gulf (Central Sulawesi),,IDN
1938,Transport accident,China,Wangmoon,14,CHN
1939,Flood,China,Honan province,500000,CHN
1941,Storm,Bangladesh,"Bhola, East Meghna estuary",5000,BGD
1942,Storm,Bangladesh,West Sundarbans,61000,BGD
1942,Earthquake,China,"Southern China, Yunnan",30,CHN
1942,Transport accident,China,Kunming,13,CHN
1942,Industrial accident,China,"Honkeiko, Manchuria",1549,CHN
1942,Transport accident,Indonesia,"Near Kupang, Timor",13,IDN
1942,Storm,India,"Orissa, West Bengal",40000,IND
1943,Drought,Bangladesh,,1900000,BGD
1943,Earthquake,Indonesia,Jogyakarta (Central Java),213,IDN
1943,Storm,India,Rajputana,5000,IND
1943,Transport accident,India,Near Calcutta,20,IND
1944,Storm,India,Assam,304,IND
1944,Transport accident,India,Off Calcutta,14,IND
1945,Storm,India,"Gujarat, Punjab",,IND
1947,Storm,Bangladesh,"Cox's Bazar, Chittagong",500,BGD
1947,Drought,Bangladesh,,,BGD
1947,Storm,Hong Kong,,2000,HKG
1947,Transport accident,India,,625,IND
1948,Storm,China,Foochow coast,1000,CHN
1948,Storm,China,,800,CHN
1948,Transport accident,China,Mer de Chine,1100,CHN
1948,Flood,China,,330,CHN
1948,Industrial accident,Hong Kong,,135,HKG
1948,Landslide,India,Assam,500,IND
1949,Miscellaneous accident,China,Chung King,1700,CHN
1949,Flood,China,,57000,CHN
1949,Storm,India,"East & West Godavari districts, Masulipatnam",1000,IND
1950,Earthquake,India,Assam province,1500,IND
1950,Flood,China,Anhwei province,500,CHN
1950,Flood,India,Saurashtra,45,IND
1951,Storm,Bangladesh,,200,BGD
1951,Flood,China,Manchuria,4800,CHN
1951,Volcanic activity,Indonesia,,1300,IDN
1952,Storm,India,"Tanjore, Tiruchi",400,IND
1953,Earthquake,Cyprus,Paphos,40,CYP
1953,Flood,Indonesia,,114,IDN
1953,Extreme temperature ,India,,400,IND
1953,Industrial accident,India,Majri,11,IND
1954,Earthquake,Afghanistan,North Region,2000,AFG
1954,Flood,China,Tibet,2000,CHN
1954,Flood,China,"Hopeh, Wuhan province",30000,CHN
1954,Volcanic activity,Indonesia,,37,IDN
1954,Landslide,India,,30,IND
1955,Storm,India,Punjab,1500,IND
1955,Earthquake,China,"Kangting, Sikang (Sichuan province)",39,CHN
1955,Landslide,Indonesia,,405,IDN
1955,Storm,India,Tanjore,500,IND
1956,Earthquake,Afghanistan,Kabul,100,AFG
1956,Flood,Afghanistan,,51,AFG
1956,Storm,China,Hopen-Honan province,2000,CHN
1956,Flood,China,,2000,CHN
1956,Storm,Indonesia,,300,IDN
1956,Earthquake,India,"Anjar, Bhuj, Gandhidham, Kandla",113,IND
1956,Landslide,India,,27,IND
1956,Storm,India,"Parganas, Midnapore (West Bengal)",,IND
1956,Industrial accident,India,Burra,28,IND
1957,Flood,China,,560,CHN
1957,Storm,Hong Kong,,8,HKG
1958,Storm,Bangladesh,East Meghna Estuary,,BGD
1958,Storm,Bangladesh,,500,BGD
1958,Earthquake,Indonesia,Malang (East Java),8,IDN
1958,Landslide,India,,52,IND
1958,Extreme temperature ,India,,651,IND
1958,Industrial accident,India,Chunalami,175,IND
1958,Industrial accident,India,Baro Dhemo,29,IND
1959,Flood,China,North,2000000,CHN
1959,Storm,China,,1064,CHN
1959,Storm,China,Fukien province,720,CHN
1959,Flood,China,,187,CHN
1959,Storm,Hong Kong,,43,HKG
1960,Storm,Bangladesh,"Noakhali, Off-Shore Islands",3000,BGD
1960,Storm,Bangladesh,"Chittagong area, Off-Shore Islands",5149,BGD
1960,Flood,Bangladesh,,10000,BGD
1960,Storm,Hong Kong,"(Aberdeen, Stanley, Cheung Chau",45,HKG
1960,Drought,Hong Kong,,,HKG
1960,Flood,Hong Kong,"Yuen Long, Sheung Shui (New Territories)",15,HKG
1961,Storm,Bangladesh,Megna Eestuary,11000,BGD
1961,Storm,Bangladesh,Chittagong,,BGD
1961,Storm,Bangladesh,,266,BGD
1961,Storm,Hong Kong,,7,HKG
1961,Flood,Hong Kong,Tsuen Wan area (New Territories),,HKG
1961,Extreme temperature ,India,,400,IND
1962,Storm,Hong Kong,"Tai Po, Shatin, Sha Tau Kok areas",183,HKG
1963,Flood,Afghanistan,,107,AFG
1963,Storm,Bangladesh,"Chittagong, Noakhali",22000,BGD
1963,Storm,Bangladesh,,79,BGD
1963,Flood,Bangladesh,,30,BGD
1963,Volcanic activity,Indonesia,Bali,1584,IDN
1963,Volcanic activity,Indonesia,,106,IDN
1963,Storm,India,,112,IND
1964,Industrial accident,Afghanistan,Karkar,74,AFG
1964,Storm,Bangladesh,Jessore district,300,BGD
1964,Flood,Bangladesh,"Rangpur, Comilla",,BGD
1964,Storm,China,,686,CHN
1964,Storm,Hong Kong,,44,HKG
1964,Storm,Hong Kong,,26,HKG
1964,Storm,India,Rameswaram,500,IND
1965,Earthquake,Indonesia,Sanana Island,71,IDN
1965,Storm,Bangladesh,Barisal district,36000,BGD
1965,Storm,Bangladesh,,12047,BGD
1965,Storm,Bangladesh,Chittagong to Teknaf,874,BGD
1965,Drought,China,"Central, South-West",,CHN
1965,Storm,Hong Kong,New Territories,5,HKG
1965,Extreme temperature ,India,,100,IND
1965,Industrial accident,India,Dhori,260,IND
1965,Industrial accident,India,Chinakuri,200,IND
1966,Drought,Indonesia,"Lombok, South",8000,IDN
1966,Storm,Bangladesh,"Chittagong, Sandwip",850,BGD
1966,Flood,Bangladesh,Sylhet,39,BGD
1966,Storm,Hong Kong,,15,HKG
1966,Landslide,Hong Kong,,64,HKG
1966,Drought,Hong Kong,,,HKG
1966,Flood,Hong Kong,,65,HKG
1966,Volcanic activity,Indonesia,Margomlujo (East Java),1000,IDN
1966,Volcanic activity,Indonesia,Sangi Talaud,88,IDN
1966,Flood,Indonesia,"Central, East Java",176,IDN
1966,Storm,India,Madras state,18,IND
1967,Earthquake,Indonesia,"Makassar Strait, Tinambung (South Sulawesi)",71,IDN
1967,Storm,Bangladesh,Dacca,50,BGD
1967,Storm,Bangladesh,"South, near Cox's Bazar",41,BGD
1967,Storm,Hong Kong,,,HKG
1967,Wildfire,Hong Kong,,,HKG
1967,Earthquake,Indonesia,"Dampit, Gondang, Trenggalek, Malang (East Java)",54,IDN
1967,Miscellaneous accident,Indonesia,,200,IDN
1967,Flood,Indonesia,East Java,,IDN
1967,Flood,Indonesia,Jakarta,,IDN
1967,Flood,Indonesia,Ambon,,IDN
1967,Flood,Indonesia,Central Java,160,IDN
1967,Earthquake,India,"Maharashtra, Koynana",177,IND
1967,Storm,India,Orissa,1000,IND
1967,Epidemic,India,,3029,IND
1967,Miscellaneous accident,India,Maraksagar,100,IND
1968,Storm,Bangladesh,"Madaripur, Faridpur",118,BGD
1968,Flood,Bangladesh,"Nationwide, 5 Northern districts",221,BGD
1968,Landslide,Hong Kong,,22,HKG
1968,Storm,Hong Kong,"North Point, Tai Po Kan, Kwangtung, Tate's Cairn, Waglan Isl.",,HKG
1968,Wildfire,Hong Kong,,,HKG
1968,Wildfire,Hong Kong,,,HKG
1968,Earthquake,Indonesia,Donggala,200,IDN
1968,Epidemic,Indonesia,Bojalali (Central Java),40,IDN
1968,Flood,Indonesia,East Java,12,IDN
1968,Flood,India,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",4892,IND
1968,Landslide,India,"Bihar, Bengal",1000,IND
1968,Storm,India,"Ramanathapurum, Thanjavur",7,IND
1969,Drought,Afghanistan,Paktia province,,AFG
1969,Storm,Bangladesh,"Dacca, Comilla",849,BGD
1969,Earthquake,China,"Tientsin (Swatow province), Yangjiang county (Huangdong province)",3000,CHN
1969,Flood,China,Shantung province,,CHN
1969,Storm,Cyprus,Limassol,3,CYP
1969,Storm,Hong Kong,,,HKG
1969,Wildfire,Hong Kong,,,HKG
1969,Wildfire,Hong Kong,,,HKG
1969,Flood,Hong Kong,,,HKG
1969,Earthquake,Indonesia,"Parasanga, Paletoang (Sulawesi)",64,IDN
1969,Volcanic activity,Indonesia,"Flores, Timor, Sulawe",,IDN
1969,Storm,India,"Guntur, Krishna, Godavari (Andhra Pradesh)",600,IND
1969,Storm,India,Andhra Pradesh,200,IND
1970,Miscellaneous accident,United Arab Emirates (the),,41,ARE
1970,Storm,Bangladesh,"Khulna, Chittagong",300000,BGD
1970,Storm,Bangladesh,,17,BGD
1970,Flood,Bangladesh,,,BGD
1970,Storm,Bangladesh,Bay of Bengal districts,300,BGD
1970,Earthquake,China,Yunnan province,10000,CHN
1970,Storm,China,"Yang-Mei (Tao-Yuan), Wu-F Eng (Hsin-Chu), Yang-Mei, Ali-Shan, Tai-Chung, Yang-Ming-Shan, Peng-Chia-Yu regions",107,CHN
1970,Transport accident,China,East China Sea,300,CHN
1970,Epidemic,Cyprus,,,CYP
1970,Flood,Hong Kong,Taipo area,,HKG
1970,Wildfire,Hong Kong,,,HKG
1970,Wildfire,Hong Kong,,,HKG
1970,Flood,Hong Kong,Sha Tin area,,HKG
1970,Miscellaneous accident,Indonesia,Java,50,IDN
1970,Flood,Indonesia,,82,IDN
1970,Earthquake,India,Broach,26,IND
1971,Landslide,Afghanistan,Khinjan Pass,100,AFG
1971,Drought,Afghanistan,"Central, North-West, North-East, West regions",,AFG
1971,Storm,Bangladesh,Coastal areas,163,BGD
1971,Storm,Hong Kong,West of Cheung Chau,115,HKG
1971,Wildfire,Hong Kong,,,HKG
1971,Wildfire,Hong Kong,,,HKG
1971,Storm,India,"East coast, Orissa state",9658,IND
1971,Storm,India,"Bihar, West Bengal",60,IND
1972,Flood,Afghanistan,West,150,AFG
1972,Storm,Bangladesh,Mymensingh,200,BGD
1972,Flood,Bangladesh,Sylhet,50,BGD
1972,Landslide,Hong Kong,"Kwungton, Victoria",100,HKG
1972,Wildfire,Hong Kong,,,HKG
1972,Wildfire,Hong Kong,,,HKG
1972,Wildfire,Hong Kong,,,HKG
1972,Flood,Hong Kong,,,HKG
1972,Flood,Hong Kong,,138,HKG
1972,Drought,Indonesia,"Central Java, Southern Isles",,IDN
1972,Miscellaneous accident,Indonesia,,72,IDN
1972,Storm,India,"Andhra Pradesh, Orissa",100,IND
1972,Storm,India,Madras City,80,IND
1973,Storm,Bangladesh,South coast,1000,BGD
1973,Storm,Bangladesh,Faridpur district,200,BGD
1973,Flood,Bangladesh,,427,BGD
1973,Storm,Bangladesh,,700,BGD
1973,Flood,Bangladesh,,,BGD
1973,Storm,Hong Kong,"uen Long, Tai Po, Sha Tin, Tin Shui Wai",1,HKG
1973,Wildfire,Hong Kong,,,HKG
1973,Wildfire,Hong Kong,,,HKG
1973,Storm,Indonesia,Flores,1650,IDN
1973,Industrial accident,Indonesia,Djakarta,52,IDN
1973,Extreme temperature ,India,"Uttar Pradesh, Bihar",115,IND
1973,Extreme temperature ,India,"Bihar, Delhi",146,IND
1973,Industrial accident,India,Noonidih,48,IND
1974,Storm,Bangladesh,,2500,BGD
1974,Storm,Bangladesh,"Coastal areas, off-shore Islands",,BGD
1974,Drought,Bangladesh,Northwest,,BGD
1974,Flood,Bangladesh,,28700,BGD
1974,Storm,Bangladesh,,300,BGD
1974,Earthquake,China,"Yunnan, Sichuan",20000,CHN
1974,Storm,Hong Kong,,1,HKG
1974,Storm,Hong Kong,,,HKG
1974,Wildfire,Hong Kong,,,HKG
1974,Wildfire,Hong Kong,,,HKG
1974,Wildfire,Hong Kong,,,HKG
1974,Storm,Indonesia,Situbondo (West Java),10,IDN
1974,Storm,India,"West Bengal, Madya Pradesh, Gujarat states",20,IND
1974,Storm,India,Midnapore,,IND
1975,Flood,China,Henan province,20000,CHN
1975,Earthquake,China,Anshan Liaoning province,2000,CHN
1975,Transport accident,China,West river (near Canton),500,CHN
1975,Storm,Hong Kong," Kwun Tong, North Point",,HKG
1975,Storm,Hong Kong,,,HKG
1975,Flood,Hong Kong,,,HKG
1975,Flood,Hong Kong,"Saikung, Kowloon, Chai Wa",3,HKG
1975,Flood,Hong Kong,,,HKG
1975,Earthquake,India,"Kinnaur district, Kashmir; Himachal Pradesh",47,IND
1975,Storm,India,Madras city,,IND
1975,Storm,India, Maharashtra (Coast),,IND
1975,Industrial accident,India,Dbanbad (Bihar),372,IND
1975,Industrial accident,India,Sillewera,10,IND
1975,Industrial accident,India,Kessurgarh,11,IND
1976,Earthquake,Afghanistan,Shamagan province (Hindu Kush),50,AFG
1976,Flood,Afghanistan,"Herat, Farah, Kandahar",51,AFG
1976,Storm,Bangladesh,Faridpur district,46,BGD
1976,Storm,Bangladesh,Dhamgarh (near Dacca),1,BGD
1976,Flood,Bangladesh,Easr,168,BGD
1976,Earthquake,China,"Tangshan, Pek.,Tientsin",242000,CHN
1976,Earthquake,China,"Szechwan, Chengtu",,CHN
1976,Storm,Hong Kong,,5,HKG
1976,Storm,Hong Kong,,3,HKG
1976,Storm,Hong Kong,"Sau Mau Ping, Lantao Isl., Ping Shan, Ngau Tam Mei, Lo Wu",30,HKG
1976,Drought,Hong Kong,Hong Kong,,HKG
1976,Flood,Hong Kong,"Sam Shing Hui, Tuen Mun (Southwest)",,HKG
1976,Earthquake,Indonesia,Wanena Region (Irian Jaya),420,IDN
1976,Earthquake,Indonesia,Bali,573,IDN
1976,Earthquake,Indonesia,"Irian Jaya, Jayawijaya (New guinea)",133,IDN
1976,Volcanic activity,Indonesia,,40,IDN
1976,Flood,Indonesia,"East Java, Lumajang",163,IDN
1976,Storm,Indonesia,,25,IDN
1976,Storm,India,"Midnapore, Parganas districts (West Bengal), Balasore district (Orissa)",40,IND
1976,Storm,India,Madras/Nellore (Andhra Pradesh),95,IND
1976,Storm,India,"Gujarat, Maharastra",87,IND
1976,Storm,India,"Krishna District, near Masulipatnam (Andhra Pradesh)",18,IND
1976,Storm,India,Between Nellore and Kavali (Andhra Pradesh),30,IND
1976,Storm,India,"Neil & Havelock Isl. (Little Andaman, South Andaman Sea areas)",,IND
1976,Industrial accident,India,Sudamdih Shaft,43,IND
1976,Industrial accident,India,Central Saunda,10,IND
1977,Earthquake,Indonesia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",185,IDN
1977,Storm,Bangladesh,,21,BGD
1977,Storm,Bangladesh,Mymensingh district,13,BGD
1977,Epidemic,Bangladesh,,260,BGD
1977,Storm,Bangladesh,Madaripur,600,BGD
1977,Flood,Bangladesh,Brahmaputra Valley,5,BGD
1977,Flood,Bangladesh,,8,BGD
1977,Storm,Hong Kong,"Pokfulam, Kowloon",,HKG
1977,Storm,Hong Kong,,1,HKG
1977,Drought,Hong Kong,,,HKG
1977,Flood,Hong Kong,"Lam Tin, Lei U Mun, Sau Mau Ping",,HKG
1977,Earthquake,Indonesia,East Timor,2,IDN
1977,Storm,Indonesia,Central Java,1,IDN
1977,Epidemic,Indonesia,Jakarta,37,IDN
1977,Epidemic,Indonesia,East Java,80,IDN
1977,Flood,Indonesia,"Jakarta, East Java",10,IDN
1977,Flood,Indonesia,Central Java,,IDN
1977,Flood,Indonesia,"Bandung district, Java",12,IDN
1977,Flood,India,Ganges region,500,IND
1977,Storm,India,"Tamil Nadu, Andhra Pradesh, Kerala",14204,IND
1977,Storm,India,"North of Nellore district, South of Prakasam district (Andhra Pradesh)",2,IND
1977,Epidemic,India,,,IND
1978,Epidemic,Bangladesh,,129,BGD
1978,Storm,Bangladesh,Bay of Bengal,1000,BGD
1978,Storm,Bangladesh,Jessore district,30,BGD
1978,Epidemic,Indonesia,Simelu Island,82,IDN
1978,Flood,Indonesia,East Java,41,IDN
1978,Flood,Indonesia,"West Achem, North Sumatra",21,IDN
1978,Storm,India,New Delhi,26,IND
1978,Storm,India,Orissa,500,IND
1978,Storm,India,West Bengal,100,IND
1978,Extreme temperature ,India,,150,IND
1978,Epidemic,India,Tamil Nadu,45,IND
1978,Epidemic,India,Uttar Pradesh,48,IND
1978,Transport accident,India,Bombay,213,IND
1900,Volcanic activity,Japan,,30,JPN
1901,Earthquake,Japan,Sanriku,18,JPN
1902,Volcanic activity,Japan,Torishima,125,JPN
1902,Storm,Myanmar,Rangoon,600,MMR
1903,Earthquake,Turkey,Malazgirt,3560,TUR
1905,Earthquake,Japan,Fukushima,41,JPN
1905,Storm,Philippines (the),Central,240,PHL
1906,Earthquake,Taiwan (Province of China),"Kagi, Toroku",1258,TWN
1909,Earthquake,Iran (Islamic Republic of),"Boroujerd, Silakor",5000,IRN
1910,Flood,Japan,,1379,JPN
1911,Volcanic activity,Philippines (the),Manilla region,1335,PHL
1911,Storm,Taiwan (Province of China),,1000,TWN
1912,Earthquake,Turkey,"Murefte Sarkoy, marmara sea",923,TUR
1912,Storm,Japan,"Nagoya, Osaka",1000,JPN
1912,Transport accident,Japan,"Off coast, Kitchemaru",1000,JPN
1912,Storm,Philippines (the),Cebu,,PHL
1914,Earthquake,Japan,Akita Senboku,94,JPN
1914,Volcanic activity,Japan,,140,JPN
1917,Storm,Japan,Honshu,4000,JPN
1918,Earthquake,Philippines (the),"Mindanao, South Cotabato",100,PHL
1920,Miscellaneous accident,Japan,Hiroshima,40,JPN
1922,Miscellaneous accident,Turkey,Smyrna,200,TUR
1923,Earthquake,Japan,"Kanto plaine (Yokohama,Tokyo)",143000,JPN
1923,Earthquake,Iran (Islamic Republic of),Turbat-Haklari,2200,IRN
1923,Landslide,Japan,Nebukawa,200,JPN
1923,Storm,Japan,Honshu,3000,JPN
1923,Miscellaneous accident,Japan,"Tokyo, Yokohama",3800,JPN
1923,Storm,Myanmar,Maungdaw,6,MMR
1924,Storm,Taiwan (Province of China),,1000,TWN
1926,Volcanic activity,Japan,Hokkaido Isl.,144,JPN
1926,Storm,Myanmar,Arrakan,2700,MMR
1926,Storm,Pakistan,Karachi,,PAK
1927,Earthquake,Jordan,"Nablus, Damiya",268,JOR
1927,Earthquake,Japan,"Tango, Honshu",3022,JPN
1928,Flood,India,"Godavari, Vizagapatnam",36,IND
1928,Earthquake,Turkey,Torbah-Izmir,50,TUR
1929,Earthquake,Iran (Islamic Republic of),"Kopet-Dagh, Beinin",3253,IRN
1930,Earthquake,Myanmar,"Pegu, Rangoon",500,MMR
1930,Earthquake,Iran (Islamic Republic of),Salmas,1360,IRN
1930,Earthquake,Japan,Idu (Honshu),259,JPN
1930,Earthquake,Myanmar,"Nyauglebin, Toungoo, Pyu",36,MMR
1931,Storm,Philippines (the),West Luzon,,PHL
1932,Storm,Philippines (the),Sulu,147,PHL
1933,Earthquake,Japan,Sanriku,3000,JPN
1934,Storm,Japan,Muruto,3006,JPN
1934,Miscellaneous accident,Japan,Hakodate,1500,JPN
1934,Storm,Philippines (the),"Manila, Bulcan",,PHL
1934,Storm,Philippines (the),"Samar, Tayabas",85,PHL
1935,Earthquake,Pakistan,Quetta (Baluchistan),60000,PAK
1935,Storm,India,"Madras, Negapatam",100,IND
1935,Earthquake,Taiwan (Province of China),"Taihoku, Taichu,n Mialoi",3276,TWN
1935,Earthquake,Taiwan (Province of China),Xiinzhu,2746,TWN
1936,Storm,Korea (the Republic of),,1104,KOR
1936,Storm,Myanmar,Arakan Coast,1000,MMR
1936,Storm,Philippines (the),Luzon,517,PHL
1937,Storm,Philippines (the),"Leyte, Mindoro",231,PHL
1938,Transport accident,Japan,Off Kubashima,10,JPN
1938,Flood,Japan,,933,JPN
1938,Storm,Philippines (the),"Samar, South Luzon",305,PHL
1938,Transport accident,Philippines (the),Between Manila and Guam,15,PHL
1938,Earthquake,Turkey,Kirsehir,149,TUR
1939,Earthquake,Turkey,Erzincan (Anatolia),32962,TUR
1939,Storm,Pakistan,Hyderabad,,PAK
1939,Earthquake,Turkey,"Erzican, Tercan region",13,TUR
1939,Earthquake,Turkey,Dikili,60,TUR
1940,Storm,Philippines (the),"Cantanduanes, Bondoc",73,PHL
1940,Earthquake,Turkey,"Develi-Erciyes, Kayseri",37,TUR
1941,Transport accident,Japan,,18,JPN
1941,Earthquake,Myanmar,Myanmar-China border region,15,MMR
1942,Drought,India,"Calcutta, Bengal region",1500000,IND
1942,Earthquake,Turkey,"Niksar, Erbaa",3000,TUR
1943,Storm,India,Madras,,IND
1943,Earthquake,Japan,Tottori (Honshu Isl.),1400,JPN
1943,Flood,Japan,,990,JPN
1943,Earthquake,Turkey,"Ladik, Samsun, Havza",4020,TUR
1944,Earthquake,Japan,"Tonankai, Hondo",1223,JPN
1944,Storm,Pakistan,Karachi,,PAK
1944,Earthquake,Turkey,Gerede (West Anatolia),3959,TUR
1944,Earthquake,Turkey,Ayvalik Edremit,27,TUR
1945,Earthquake,Japan,"Mikawa (Near Nagoya, Honshu Isl.)",2306,JPN
1945,Earthquake,Pakistan,Makran,4000,PAK
1945,Volcanic activity,Japan,,,JPN
1945,Storm,Japan,"Kyushu, Kanto",3746,JPN
1945,Storm,Japan,Entire nationa except Hokkaido,451,JPN
1946,Earthquake,Japan,"Nankaido, Tonankai (Honshu Isl.)",2000,JPN
1946,Storm,Philippines (the),,260,PHL
1946,Earthquake,Turkey,"Varto-Hinis, Ustukran (Eastern Turkey)",840,TUR
1947,Earthquake,Iran (Islamic Republic of),Dustabad,400,IRN
1947,Storm,Japan,Honshu Island,1930,JPN
1947,Flood,Japan,Honshu Island,2000,JPN
1948,Earthquake,Iran (Islamic Republic of),,200,IRN
1948,Earthquake,Japan,Fukui,5131,JPN
1948,Storm,Japan,"Kinki, Tohoku",868,JPN
1948,Earthquake,Philippines (the),"Panay, Iloilo city, Antique",72,PHL
1948,Flood,Turkey,,200,TUR
1948,Flood,Turkey,,132,TUR
1949,Storm,Japan,Western Japan,419,JPN
1949,Storm,Japan,,38,JPN
1949,Storm,Japan,,160,JPN
1949,Storm,Philippines (the),"Cebu City, Negros, Panay",1000,PHL
1949,Earthquake,Turkey,Karliova (Anatolia),320,TUR
1950,Storm,India,West,90,IND
1950,Flood,India,,100,IND
1950,Flood,Iran (Islamic Republic of),,52,IRN
1950,Storm,Japan,Entire nation except Kyushu,509,JPN
1950,Industrial accident,Japan,Minamata Bay,439,JPN
1950,Flood,Japan,,50,JPN
1950,Flood,Japan,,77,JPN
1950,Flood,Pakistan,,2900,PAK
1950,Volcanic activity,Philippines (the),,84,PHL
1951,Flood,Iran (Islamic Republic of),,225,IRN
1951,Storm,Japan,Entire nation except Hokkaido,943,JPN
1951,Flood,Japan,Western Japan,306,JPN
1951,Volcanic activity,Philippines (the),"Mt Catarman, Mindanao",500,PHL
1951,Storm,Philippines (the),"Samar, South Luzon",156,PHL
1951,Storm,Philippines (the),"Visayas, Bicol",87,PHL
1951,Storm,Philippines (the),Central,569,PHL
1951,Earthquake,Turkey,Kursunlu-Ilgaz,54,TUR
1951,Storm,Taiwan (Province of China),,100,TWN
1952,Earthquake,Japan,Hokkaido Isl.,33,JPN
1952,Storm,India,,350,IND
1952,Volcanic activity,Japan,"Myozin-Syo, Izu Islands",29,JPN
1952,Storm,Japan,,176,JPN
1952,Storm,Philippines (the),Central,19,PHL
1952,Storm,Philippines (the),Central,995,PHL
1952,Earthquake,Turkey,"Adana-Misis, Ceyhan",20,TUR
1952,Earthquake,Turkey,Hasankale (Erzurum province),103,TUR
1953,Flood,India,,80,IND
1953,Earthquake,Iran (Islamic Republic of),Torud,970,IRN
1953,Extreme temperature ,Iran (Islamic Republic of),,158,IRN
1953,Flood,Iran (Islamic Republic of),,467,IRN
1953,Flood,Iran (Islamic Republic of),,265,IRN
1953,Storm,Japan,Nagoya,250,JPN
1953,Storm,Japan,,29,JPN
1953,Flood,Japan,Most of the nation,2566,JPN
1953,Flood,Japan,,1024,JPN
1953,Flood,Japan,,377,JPN
1953,Transport accident,Korea (the Republic of),Pusan,249,KOR
1953,Extreme temperature ,Pakistan,,111,PAK
1953,Earthquake,Turkey,"Canakkale, Balikesir, Yenice, Onon",1200,TUR
1953,Storm,Taiwan (Province of China),,67,TWN
1954,Flood,Iran (Islamic Republic of),Kazvin district (Teheran),2000,IRN
1954,Flood,Iraq,Tigris,,IRQ
1954,Storm,Japan,North Japan,1761,JPN
1954,Storm,Japan,,46,JPN
1954,Storm,Japan,,27,JPN
